fontname,size,boldmultiplier,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126
Calibri,9,1.022,0.59,0.73,0.88,0.88,1.32,1.17,0.44,0.59,0.59,0.88,0.88,0.44,0.59,0.44,0.73,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.44,0.44,0.88,0.88,0.88,0.88,1.62,1.03,1.03,0.88,1.17,0.88,0.88,1.17,1.17,0.59,0.59,0.88,0.73,1.47,1.17,1.17,0.88,1.17,1.03,0.88,0.88,1.17,1.03,1.62,0.88,0.88,0.88,0.59,0.73,0.59,0.88,0.88,0.59,1.03,1.03,0.73,1.03,1.03,0.59,0.88,1.03,0.59,0.44,0.88,0.59,1.47,1.03,1.03,1.03,1.03,0.59,0.88,0.59,1.03,0.73,1.32,0.73,0.73,0.73,0.59,0.88,0.59,0.88
Calibri,10,1.022,0.59,0.73,0.88,1.03,1.32,1.32,0.44,0.59,0.59,0.88,0.88,0.44,0.59,0.44,0.73,1.03,1.03,1.03,1.03,1.03,1.03,1.03,1.03,1.03,1.03,0.44,0.44,0.88,0.88,0.88,0.88,1.76,1.03,1.03,1.03,1.17,0.88,0.88,1.17,1.17,0.59,0.59,1.03,0.73,1.62,1.17,1.32,1.03,1.32,1.03,0.88,0.88,1.17,1.03,1.76,1.03,0.88,0.88,0.59,0.73,0.59,0.88,0.88,0.59,1.03,1.03,0.88,1.03,0.88,0.59,0.88,1.03,0.59,0.59,0.88,0.59,1.47,1.03,1.03,1.03,1.03,0.73,0.88,0.59,1.03,0.88,1.32,0.88,0.88,0.73,0.59,0.88,0.59,0.88
Calibri,11,1.022,0.73,0.88,1.03,1.03,1.62,1.47,0.44,0.73,0.73,1.03,1.03,0.59,0.73,0.59,0.88,1.03,1.03,1.03,1.03,1.03,1.03,1.03,1.03,1.03,1.03,0.59,0.59,1.03,1.03,1.03,1.03,1.91,1.32,1.17,1.17,1.32,1.03,1.03,1.32,1.32,0.59,0.73,1.17,0.88,1.76,1.47,1.47,1.17,1.47,1.17,1.03,1.03,1.32,1.32,1.91,1.17,1.03,1.03,0.73,0.88,0.73,1.03,1.03,0.59,1.03,1.17,0.88,1.17,1.17,0.73,1.03,1.17,0.59,0.59,1.03,0.59,1.76,1.17,1.17,1.17,1.17,0.73,0.88,0.73,1.17,1.03,1.62,1.03,1.03,0.88,0.73,1.03,0.73,1.03
Calibri,12,1.022,0.73,0.88,1.17,1.17,1.62,1.62,0.59,0.73,0.73,1.17,1.17,0.59,0.73,0.59,0.88,1.17,1.17,1.17,1.17,1.17,1.17,1.17,1.17,1.17,1.17,0.59,0.59,1.17,1.17,1.17,1.03,2.06,1.32,1.32,1.32,1.47,1.17,1.03,1.47,1.47,0.59,0.73,1.17,1.03,1.91,1.47,1.62,1.17,1.62,1.32,1.03,1.17,1.47,1.32,2.06,1.17,1.17,1.17,0.73,0.88,0.73,1.17,1.17,0.73,1.17,1.17,1.03,1.17,1.17,0.73,1.17,1.17,0.59,0.59,1.03,0.59,1.76,1.17,1.17,1.17,1.17,0.73,1.03,0.73,1.17,1.03,1.62,1.03,1.03,0.88,0.73,1.03,0.73,1.17
Calibri,13,1.022,0.88,1.03,1.18,1.32,1.77,1.77,0.59,0.74,0.74,1.18,1.18,0.59,0.74,0.59,1.03,1.32,1.32,1.32,1.32,1.32,1.32,1.32,1.32,1.32,1.32,0.74,0.74,1.18,1.18,1.18,1.18,2.21,1.47,1.32,1.32,1.47,1.18,1.18,1.62,1.62,0.59,0.74,1.32,1.03,2.21,1.62,1.62,1.32,1.62,1.32,1.18,1.18,1.62,1.47,2.21,1.32,1.18,1.18,0.74,1.03,0.74,1.18,1.18,0.74,1.18,1.32,1.03,1.32,1.18,0.74,1.18,1.32,0.59,0.59,1.18,0.59,2.06,1.32,1.32,1.32,1.32,0.88,1.03,0.88,1.32,1.18,1.77,1.03,1.18,1.03,0.74,1.18,0.74,1.18
Calibri,14,1.022,0.88,1.18,1.32,1.47,2.06,1.91,0.59,0.88,0.88,1.32,1.32,0.74,0.88,0.74,1.03,1.47,1.47,1.47,1.47,1.47,1.47,1.47,1.47,1.47,1.47,0.74,0.74,1.32,1.32,1.32,1.32,2.5,1.62,1.47,1.47,1.77,1.32,1.32,1.77,1.77,0.88,0.88,1.47,1.18,2.35,1.77,1.91,1.47,1.91,1.47,1.32,1.32,1.77,1.62,2.5,1.47,1.32,1.32,0.88,1.03,0.88,1.32,1.32,0.88,1.32,1.47,1.18,1.47,1.32,0.88,1.32,1.47,0.59,0.74,1.32,0.59,2.21,1.47,1.47,1.47,1.47,1.03,1.18,0.88,1.47,1.32,2.06,1.18,1.32,1.18,0.88,1.32,0.88,1.32
Calibri,15,1.022,1.03,1.18,1.47,1.47,2.06,2.06,0.59,0.88,0.88,1.47,1.47,0.74,0.88,0.74,1.18,1.47,1.47,1.47,1.47,1.47,1.47,1.47,1.47,1.47,1.47,0.74,0.74,1.47,1.47,1.47,1.32,2.55,1.77,1.62,1.62,1.77,1.47,1.32,1.91,1.77,0.74,0.88,1.47,1.18,2.5,1.91,1.91,1.47,1.91,1.62,1.32,1.47,1.91,1.62,2.55,1.47,1.47,1.32,0.88,1.18,0.88,1.47,1.47,0.88,1.47,1.62,1.18,1.62,1.47,0.88,1.32,1.62,0.74,0.74,1.32,0.74,2.35,1.62,1.62,1.62,1.62,1.03,1.18,1.03,1.62,1.32,2.06,1.32,1.32,1.18,0.88,1.32,0.88,1.47
Segoe UI,8,1.05,0.44,0.59,1.03,0.88,1.32,1.32,0.44,0.44,0.44,0.73,1.17,0.44,0.59,0.44,0.59,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.44,0.44,1.17,1.17,1.17,0.73,1.62,1.03,1.03,1.03,1.17,0.88,0.88,1.17,1.17,0.44,0.59,0.88,0.73,1.47,1.17,1.32,0.88,1.32,1.03,0.88,0.73,1.17,1.03,1.62,0.88,0.73,0.88,0.44,0.59,0.44,1.17,0.73,0.44,0.88,1.03,0.73,1.03,0.88,0.59,1.03,1.03,0.44,0.44,0.88,0.44,1.32,1.03,1.03,1.03,1.03,0.59,0.73,0.59,1.03,0.73,1.32,0.73,0.73,0.73,0.44,0.44,0.44,1.17
Segoe UI,9,1.05,0.44,0.73,1.03,0.88,1.47,1.47,0.44,0.59,0.59,0.73,1.17,0.44,0.73,0.44,0.73,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.44,0.44,1.17,1.17,1.17,0.73,1.62,1.17,1.03,1.17,1.17,0.88,0.88,1.17,1.32,0.44,0.59,1.03,0.88,1.62,1.32,1.32,1.03,1.32,1.03,0.88,1.03,1.17,1.03,1.62,1.03,1.03,1.03,0.59,0.73,0.59,1.17,0.73,0.44,0.88,1.03,0.88,1.03,0.88,0.59,1.03,1.03,0.44,0.44,0.88,0.44,1.62,1.03,1.03,1.03,1.03,0.59,0.73,0.59,1.03,0.88,1.32,0.73,0.88,0.73,0.59,0.44,0.59,1.17
Segoe UI,10,1.05,0.59,0.73,1.17,1.03,1.62,1.47,0.44,0.59,0.59,0.73,1.32,0.44,0.73,0.44,0.73,1.03,1.03,1.03,1.03,1.03,1.03,1.03,1.03,1.03,1.03,0.44,0.44,1.32,1.32,1.32,0.88,1.76,1.17,1.03,1.17,1.32,1.03,0.88,1.32,1.32,0.44,0.73,1.17,0.88,1.76,1.47,1.47,1.03,1.47,1.17,1.03,1.03,1.32,1.17,1.76,1.17,1.03,1.03,0.59,0.73,0.59,1.32,0.73,0.44,1.03,1.17,0.88,1.17,1.03,0.59,1.17,1.03,0.44,0.44,0.88,0.44,1.62,1.03,1.17,1.17,1.17,0.73,0.88,0.59,1.03,0.88,1.32,0.88,0.88,0.88,0.59,0.44,0.59,1.32
Segoe UI,11,1.05,0.59,0.88,1.32,1.17,1.76,1.76,0.44,0.73,0.73,0.88,1.47,0.44,0.88,0.44,0.88,1.17,1.17,1.17,1.17,1.17,1.17,1.17,1.17,1.17,1.17,0.44,0.44,1.47,1.47,1.47,1.03,2.06,1.47,1.32,1.32,1.62,1.17,1.03,1.47,1.62,0.59,0.73,1.32,1.03,1.91,1.62,1.62,1.17,1.62,1.32,1.17,1.17,1.47,1.32,2.06,1.32,1.17,1.32,0.73,0.88,0.73,1.47,0.88,0.59,1.17,1.32,1.03,1.32,1.17,0.73,1.32,1.17,0.59,0.59,1.03,0.59,1.91,1.17,1.32,1.32,1.32,0.73,0.88,0.73,1.17,1.03,1.62,1.03,1.03,1.03,0.73,0.59,0.73,1.47
Segoe UI,12,1.05,0.74,0.88,1.32,1.32,1.91,1.91,0.59,0.74,0.74,1.03,1.62,0.44,0.88,0.44,0.88,1.32,1.32,1.32,1.32,1.32,1.32,1.32,1.32,1.32,1.32,0.44,0.44,1.62,1.62,1.62,1.03,2.21,1.47,1.32,1.47,1.62,1.18,1.18,1.62,1.62,0.59,0.88,1.32,1.18,2.06,1.77,1.77,1.32,1.77,1.47,1.32,1.18,1.62,1.47,2.21,1.32,1.32,1.32,0.74,0.88,0.74,1.62,1.03,0.59,1.18,1.32,1.03,1.32,1.18,0.74,1.32,1.32,0.59,0.59,1.18,0.59,2.06,1.32,1.32,1.32,1.32,0.88,1.03,0.74,1.32,1.18,1.77,1.03,1.18,1.03,0.74,0.59,0.74,1.62
Segoe UI,13,1.05,0.74,1.03,1.47,1.32,2.06,2.06,0.59,0.74,0.74,1.03,1.77,0.59,1.03,0.59,1.03,1.32,1.32,1.32,1.32,1.32,1.32,1.32,1.32,1.32,1.32,0.59,0.59,1.77,1.77,1.77,1.18,2.35,1.62,1.47,1.62,1.77,1.32,1.18,1.77,1.77,0.74,0.88,1.47,1.18,2.21,1.91,1.91,1.47,1.91,1.47,1.32,1.32,1.77,1.62,2.35,1.47,1.32,1.47,0.74,0.88,0.74,1.77,1.03,0.74,1.32,1.47,1.18,1.47,1.32,0.74,1.47,1.47,0.59,0.59,1.18,0.59,2.21,1.47,1.47,1.47,1.47,0.88,1.03,0.88,1.47,1.18,1.77,1.18,1.18,1.18,0.74,0.59,0.74,1.77
Segoe UI,14,1.05,0.74,1.03,1.62,1.47,2.35,2.21,0.59,0.88,0.88,1.18,1.91,0.59,1.18,0.59,1.03,1.47,1.47,1.47,1.47,1.47,1.47,1.47,1.47,1.47,1.47,0.59,0.59,1.91,1.91,1.91,1.32,2.55,1.77,1.62,1.77,1.91,1.47,1.32,1.91,1.91,0.74,1.03,1.62,1.32,2.5,2.06,2.06,1.62,2.06,1.62,1.47,1.47,1.91,1.77,2.55,1.62,1.62,1.62,0.88,1.03,0.88,1.91,1.18,0.74,1.47,1.62,1.32,1.62,1.47,0.88,1.62,1.62,0.74,0.74,1.32,0.74,2.35,1.62,1.62,1.62,1.62,1.03,1.18,0.88,1.62,1.32,2.06,1.32,1.32,1.32,0.88,0.74,0.88,1.91
Segoe UI,15,1.05,0.88,1.18,1.77,1.62,2.35,2.35,0.74,0.88,0.88,1.18,2.06,0.59,1.18,0.59,1.18,1.62,1.62,1.62,1.62,1.62,1.62,1.62,1.62,1.62,1.62,0.59,0.59,2.06,2.06,2.06,1.32,2.55,1.91,1.62,1.77,2.06,1.47,1.47,2.06,2.06,0.74,1.03,1.77,1.32,2.55,2.21,2.21,1.62,2.21,1.77,1.62,1.47,2.06,1.77,2.55,1.77,1.62,1.62,0.88,1.18,0.88,2.06,1.18,0.74,1.47,1.77,1.32,1.77,1.47,0.88,1.77,1.62,0.74,0.74,1.47,0.74,2.5,1.62,1.77,1.77,1.77,1.03,1.18,1.03,1.62,1.47,2.06,1.32,1.47,1.32,0.88,0.74,0.88,2.06
